,Hashtag+combined_ID,Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,GEX lib,ADT lib,TCR lib,BCR lib,HTO lib,Organ,Protein panel,symbol,combined_ID
74,HTO_C0254_CZI-IA10471909+CZI-IA10472005,122,640C-TLN-122,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,TLN,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
75,HTO_C0255_CZI-IA10471909+CZI-IA10472005,123,640C-MLN-123,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,MLN,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
76,HTO_C0252_CZI-IA10471910+CZI-IA10472006,120,640C-SPL-120,UK,640C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,SPL,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
77,HTO_C0253_CZI-IA10471910+CZI-IA10472006,121,640C-BMA-121,UK,640C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,BMA,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
78,HTO_C0254_CZI-IA10471910+CZI-IA10472006,122,640C-TLN-122,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,TLN,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
79,HTO_C0255_CZI-IA10471910+CZI-IA10472006,123,640C-MLN-123,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,MLN,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
80,HTO_C0254_CZI-IA10471911+CZI-IA10472007,124,640C-LIV-124,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LIV,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
81,HTO_C0255_CZI-IA10471911+CZI-IA10472007,125,640C-LNG-125,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LNG,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
82,HTO_C0256_CZI-IA10471911+CZI-IA10472007,126,640C-JEJEPI-126,UK,640C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJEPI,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
83,HTO_C0257_CZI-IA10471911+CZI-IA10472007,127,640C-JEJLP-127,UK,640C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJLP,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
